Configuration	BlueBoard
STM32CubeMX 	4.12.0
Date	01/02/2016
MCU	STM32F746VGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
67	PA8	GPIO_Output	LEDR
68	PA9	USART1_TX	DEBUG_TX
69	PA10	USART1_RX	DEBUG_RX
70	PA11	USART1_CTS	DEBUG_CTS
71	PA12	USART1_RTS	DEBUG_RTS
72	PA13	SYS_JTMS-SWDIO	
76	PA14	SYS_JTCK-SWCLK	
77	PA15	GPIO_Input	END_5
78	PC10	GPIO_Input	END_6
79	PC11	GPIO_Input	END_7
80	PC12	GPIO_Input	END_8
81	PD0	CAN1_RX	
82	PD1	CAN1_TX	
83	PD2	GPIO_Output	LEDG
84	PD3	GPIO_Output	RS485_nRE
85	PD4	GPIO_Output	RS485_DE
86	PD5	USART2_TX	RS485_TX
87	PD6	USART2_RX	RS485_RX
88	PD7	GPIO_Output	LEDB
89	PB3	SYS_JTDO-SWO	
90	PB4	TIM3_CH1	ENC1_A
91	PB5	TIM3_CH2	ENC1_B
92	PB6	TIM4_CH1	ENC2_A
93	PB7	TIM4_CH2	ENC2_B
95	PB8	GPIO_Output	VP1_nEN
96	PB9	GPIO_Output	VP2_nEN
97	PE0	GPIO_Output	VP3_nEN
98	PE1	GPIO_Input	SW3



SOFTWARE PROJECT

Project Settings : 
Project Name : BlueBoard
Project Folder : C:\Users\Paul\Documents\Work\Igrebot\SVN\trunk\Elec\2016\BlueBoard v1\ioc
Toolchain / IDE : TrueSTUDIO
Firmware Package Name and Version : STM32Cube FW_F7 V1.3.1


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy all used libraries into the project folder
Generate peripheral initialization as a pair of '.c/.h' files per IP : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






